Time,VehicleId,Pos_x,Pos_y,Type,Speed,Lane,Slope,LeaderID,LeaderSpeed,LeaderGap,Acceleration,overtaking_possible_gap,overtaking_feasibility_score,overtaking_recommended,steep_slope
0.0,10101,-100.0,-1.6,obstacle,0.0,west_right_0,0.0,-1.0,-1.0,-1.0,0.0,1,1.0,1,0
0.0007698229407236336,10101,-99.97,-1.6,obstacle,0.3,west_right_0,0.0,-1.0,-1.0,-1.0,2.99,1,1.0,1,0
0.0015396458814472672,10101,-99.91,-1.6,obstacle,0.59,west_right_0,0.0,-1.0,-1.0,-1.0,2.89,1,1.0,1,0
0.0023094688221709007,10101,-99.83,-1.6,obstacle,0.84,west_right_0,0.0,-1.0,-1.0,-1.0,2.57,1,1.0,1,0
0.0030792917628945345,10101,-99.72,-1.6,obstacle,1.1,west_right_0,0.0,-1.0,-1.0,-1.0,2.57,1,1.0,1,0
0.0038491147036181675,10101,-99.58,-1.6,obstacle,1.34,west_right_0,0.0,-1.0,-1.0,-1.0,2.34,1,1.0,1,0
0.004618937644341801,10101,-99.42,-1.6,obstacle,1.6,west_right_0,0.0,-1.0,-1.0,-1.0,2.69,1,1.0,1,0
0.005388760585065435,10101,-99.24,-1.6,obstacle,1.87,west_right_0,0.0,-1.0,-1.0,-1.0,2.66,1,1.0,1,0
0.006158583525789069,10101,-99.03,-1.6,obstacle,2.06,west_right_0,0.0,-1.0,-1.0,-1.0,1.95,1,1.0,1,0
0.0069284064665127015,10101,-98.8,-1.6,obstacle,2.29,west_right_0,0.0,-1.0,-1.0,-1.0,2.23,1,1.0,1,0
0.007698229407236335,10101,-98.55,-1.6,obstacle,2.54,west_right_0,0.0,-1.0,-1.0,-1.0,2.53,1,1.0,1,0
0.00846805234795997,10101,-98.28,-1.6,obstacle,2.7,west_right_0,0.0,-1.0,-1.0,-1.0,1.6,1,1.0,1,0
0.009237875288683603,10101,-97.99,-1.6,obstacle,2.88,west_right_0,0.0,-1.0,-1.0,-1.0,1.79,1,1.0,1,0
0.010007698229407237,10101,-97.68,-1.6,obstacle,3.05,west_right_0,0.0,-1.0,-1.0,-1.0,1.67,1,1.0,1,0
