Time,VehicleId,Pos_x,Pos_y,Speed,Lane,LeaderID,LeaderSpeed,LeaderGap,Acceleration,Slope,approaching_slow,approaching_moderate,approaching_fast,decelerating,hard_deceleration,close_to_leader,intersection_type_DEFAULTVEHTYPE,intersection_slope,intersection_likelihood
0.0,0,0.69,1172.48,12.59,36260898500.0,-1,-1.0,-1.0,6.97,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0005,0,0.7,1172.46,0.25,36260898500.0,-1,-1.0,-1.0,4.91,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.001,0,0.72,1172.41,0.49,36260898500.0,-1,-1.0,-1.0,5.49,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0015,0,0.75,1172.35,0.73,36260898500.0,-1,-1.0,-1.0,5.32,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.002,0,0.79,1172.26,0.95,36260898500.0,-1,-1.0,-1.0,4.99,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0025,0,0.84,1172.15,1.18,36260898500.0,-1,-1.0,-1.0,4.73,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.003,0,0.9,1172.02,1.42,36260898500.0,-1,-1.0,-1.0,4.69,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0034999999999999996,0,0.97,1171.88,1.6,36260898500.0,-1,-1.0,-1.0,-5.82,0,1,0,0,1,1,1,True,0,1.0
0.004,0,1.04,1171.71,1.82,36260898500.0,-1,-1.0,-1.0,5.2,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0045000000000000005,0,1.13,1171.53,2.05,36260898500.0,-1,-1.0,-1.0,5.31,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.005,0,1.22,1171.33,2.2,36260898500.0,-1,-1.0,-1.0,6.5,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0055000000000000005,1,1044.85,5.28,12.59,336260898570.0,-1,-1.0,-1.0,6.97,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0055000000000000005,0,1.32,1171.11,2.45,36260898500.0,-1,-1.0,-1.0,4.91,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.006,1,1044.84,5.3,0.26,336260898570.0,-1,-1.0,-1.0,-7.58,0,1,0,0,1,1,1,True,0,1.0
0.006,0,1.43,1170.87,2.67,36260898500.0,-1,-1.0,-1.0,5.18,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.006500000000000001,1,1044.81,5.34,0.5,336260898570.0,-1,-1.0,-1.0,6.42,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.006500000000000001,0,1.56,1170.6,2.91,36260898500.0,-1,-1.0,-1.0,-6.42,0,1,0,0,1,1,1,True,0,1.0
0.006999999999999999,1,1044.78,5.41,0.75,336260898570.0,-1,-1.0,-1.0,-6.45,0,1,0,0,1,1,1,True,0,1.0
0.006999999999999999,0,1.69,1170.32,3.11,36260898500.0,-1,-1.0,-1.0,5.02,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0075,1,1044.74,5.5,0.97,336260898570.0,-1,-1.0,-1.0,5.18,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0075,0,1.83,1170.02,3.31,36260898500.0,-1,-1.0,-1.0,5.01,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.008,1,1044.69,5.6,1.18,336260898570.0,-1,-1.0,-1.0,-5.12,0,1,0,0,1,1,1,True,0,1.0
0.008,0,1.97,1169.71,3.45,36260898500.0,-1,-1.0,-1.0,5.39,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0085,1,1044.62,5.73,1.39,336260898570.0,-1,-1.0,-1.0,-5.14,0,1,0,0,1,1,1,True,0,1.0
0.0085,0,2.13,1169.37,3.71,36260898500.0,-1,-1.0,-1.0,-7.59,0,1,0,0,1,1,1,True,0,1.0
0.009000000000000001,1,1044.55,5.87,1.58,336260898570.0,-1,-1.0,-1.0,-6.85,0,1,0,0,1,1,1,True,0,1.0
0.009000000000000001,0,2.29,1169.02,3.87,36260898500.0,-1,-1.0,-1.0,4.61,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0095,1,1044.47,6.03,1.77,336260898570.0,-1,-1.0,-1.0,5.97,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0095,0,2.46,1168.65,4.04,36260898500.0,-1,-1.0,-1.0,-4.76,0,1,0,0,1,1,1,True,0,1.0
0.01,1,1044.39,6.2,1.94,336260898570.0,-1,-1.0,-1.0,4.69,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.01,0,2.64,1168.26,4.25,36260898500.0,-1,-1.0,-1.0,-5.06,0,1,0,0,1,1,1,True,0,1.0
0.0105,1,1044.29,6.39,2.15,336260898570.0,-1,-1.0,-1.0,5.05,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0105,0,2.82,1167.87,4.39,36260898500.0,-1,-1.0,-1.0,5.45,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.011000000000000001,1,1044.19,6.61,2.38,336260898570.0,-1,-1.0,-1.0,-5.29,0,1,0,0,1,1,1,True,0,1.0
0.011000000000000001,0,3.01,1167.45,4.62,36260898500.0,-1,-1.0,-1.0,5.24,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0115,1,1044.07,6.84,2.56,336260898570.0,-1,-1.0,-1.0,-6.87,0,1,0,0,1,1,1,True,0,1.0
0.0115,0,3.22,1167.01,4.82,36260898500.0,-1,-1.0,-1.0,5.01,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.012,1,1043.95,7.09,2.81,336260898570.0,-1,-1.0,-1.0,-6.45,0,1,0,0,1,1,1,True,0,1.0
0.012,0,3.42,1166.56,4.97,36260898500.0,-1,-1.0,-1.0,4.52,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0125,1,1043.81,7.36,3.03,336260898570.0,-1,-1.0,-1.0,-5.16,0,1,0,0,1,1,1,True,0,1.0
0.0125,0,3.64,1166.09,5.16,36260898500.0,-1,-1.0,-1.0,-6.89,0,1,0,0,1,1,1,True,0,1.0
0.013000000000000001,1,1043.67,7.64,3.16,336260898570.0,-1,-1.0,-1.0,5.39,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.013000000000000001,0,3.87,1165.6,5.35,36260898500.0,-1,-1.0,-1.0,4.88,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.013500000000000002,1,1043.52,7.94,3.3,336260898570.0,-1,-1.0,-1.0,5.34,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.013500000000000002,2,0.69,1172.48,12.59,36260898500.0,0,5.35,2.05,6.97,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.013500000000000002,0,4.1,1165.1,5.55,36260898500.0,-1,-1.0,-1.0,-5.04,0,1,0,0,1,1,1,True,0,1.0
0.013999999999999999,1,1043.37,8.25,3.53,336260898570.0,-1,-1.0,-1.0,5.32,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.013999999999999999,2,0.7,1172.46,0.25,36260898500.0,0,5.55,2.1,-7.5,0,1,0,0,1,1,1,True,0,1.0
0.013999999999999999,0,4.34,1164.58,5.73,36260898500.0,-1,-1.0,-1.0,4.73,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.014499999999999999,1,1043.2,8.58,3.69,336260898570.0,-1,-1.0,-1.0,4.54,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.014499999999999999,2,0.72,1172.41,0.49,36260898500.0,0,5.73,3.63,6.44,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.014499999999999999,0,4.59,1164.04,5.93,36260898500.0,-1,-1.0,-1.0,5.09,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.015,1,1043.03,8.93,3.82,336260898570.0,-1,-1.0,-1.0,5.39,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.015,2,0.75,1172.34,0.75,36260898500.0,0,5.93,4.15,-7.54,0,1,0,0,1,1,1,True,0,1.0
0.015,0,4.84,1163.49,6.1,36260898500.0,-1,-1.0,-1.0,4.69,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0155,1,1042.85,9.29,4.07,336260898570.0,-1,-1.0,-1.0,-6.45,0,1,0,0,1,1,1,True,0,1.0
0.0155,2,0.79,1172.26,0.98,36260898500.0,0,6.1,4.66,5.32,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0155,3,403.61,726.38,12.59,36260898520.0,-1,-1.0,-1.0,6.97,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0155,0,5.11,1162.91,6.35,36260898500.0,-1,-1.0,-1.0,4.52,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.016,1,1042.66,9.67,4.22,336260898570.0,-1,-1.0,-1.0,4.52,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.016,2,0.84,1172.15,1.21,36260898500.0,0,6.35,5.17,5.28,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.016,3,403.62,726.36,0.26,36260898520.0,-1,-1.0,-1.0,-7.56,0,1,0,0,1,1,1,True,0,1.0
0.016,0,5.38,1162.32,6.55,36260898500.0,-1,-1.0,-1.0,5.01,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0165,1,1042.47,10.07,4.45,336260898570.0,-1,-1.0,-1.0,-5.29,0,1,0,0,1,1,1,True,0,1.0
0.0165,2,0.9,1172.02,1.44,36260898500.0,0,6.55,5.68,5.3,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.0165,3,403.66,726.32,0.51,36260898520.0,-1,-1.0,-1.0,-7.58,0,1,0,0,1,1,1,True,0,1.0
0.0165,0,5.67,1161.7,6.75,36260898500.0,-1,-1.0,-1.0,4.99,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.017,1,1042.26,10.49,4.68,336260898570.0,-1,-1.0,-1.0,5.35,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.017,2,0.97,1171.86,1.68,36260898500.0,0,6.75,6.19,-6.42,0,1,0,0,1,1,1,True,0,1.0
0.017,3,403.71,726.26,0.74,36260898520.0,-1,-1.0,-1.0,-5.22,0,1,0,0,1,1,1,True,0,1.0
0.017,0,5.96,1161.07,6.94,36260898500.0,-1,-1.0,-1.0,-5.82,0,1,0,0,1,1,1,True,0,1.0
0.0175,1,1042.04,10.93,4.94,336260898570.0,-1,-1.0,-1.0,-7.59,0,1,0,0,1,1,1,True,0,1.0
0.0175,2,1.05,1171.69,1.93,36260898500.0,0,6.94,6.69,-7.5,0,1,0,0,1,1,1,True,0,1.0
0.0175,3,403.77,726.19,0.95,36260898520.0,-1,-1.0,-1.0,-5.15,0,1,0,0,1,1,1,True,0,1.0
0.0175,0,6.26,1160.42,7.18,36260898500.0,-1,-1.0,-1.0,6.42,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.018000000000000002,1,1041.81,11.39,5.17,336260898570.0,-1,-1.0,-1.0,5.31,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.018000000000000002,2,1.15,1171.49,2.17,36260898500.0,0,7.18,7.19,-6.43,0,1,0,0,1,1,1,True,0,1.0
0.018000000000000002,3,403.85,726.11,1.16,36260898520.0,-1,-1.0,-1.0,5.2,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.018000000000000002,0,6.57,1159.75,7.43,36260898500.0,-1,-1.0,-1.0,-7.53,0,1,0,0,1,1,1,True,0,1.0
0.018500000000000003,1,1041.57,11.88,5.4,336260898570.0,-1,-1.0,-1.0,-5.27,0,1,0,0,1,1,1,True,0,1.0
0.018500000000000003,2,1.25,1171.28,2.37,36260898500.0,0,7.43,7.7,5.97,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.018500000000000003,3,403.94,726.0,1.35,36260898520.0,-1,-1.0,-1.0,4.92,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.018500000000000003,0,6.89,1159.06,7.61,36260898500.0,-1,-1.0,-1.0,4.78,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.019,1,1041.32,12.37,5.57,336260898570.0,-1,-1.0,-1.0,5.65,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.019,2,1.35,1171.04,2.59,36260898500.0,0,7.61,8.2,-5.16,0,1,0,0,1,1,1,True,0,1.0
0.019,3,404.04,725.89,1.59,36260898520.0,-1,-1.0,-1.0,5.37,0,1,0,0,0,0,1,True,0,0.6000000000000001
0.019,0,7.22,1158.35,7.81,36260898500.0,-1,-1.0,-1.0,-4.93,0,1,0,0,1,1,1,True,0,1.0
